prompt,chosen,rejected
It is illegal to own just one guinea pig in Switzerland.,declarative,exclamative
Do you consider yourself creative?,interrogative,exclamative
"A group of fish is called a ""school.""",declarative,interrogative
How delightful this nature trail is!,exclamative,declarative
Whirlwind of joy!,exclamative,imperative
How delightful the taste of that dish was!,exclamative,imperative
What a remarkable teacher you are!,exclamative,imperative
What’s your ideal vacation destination?,interrogative,imperative
Write a collaborative story.,imperative,exclamative
How graceful that dancer is!,exclamative,imperative
What a thrilling experience hiking at dawn!,exclamative,interrogative
"Hooray, we’re here to help!",exclamative,declarative
Focus on self-improvement.,imperative,interrogative
A narwhal's tusk can reach lengths of up to 10 feet.,declarative,interrogative
What a unique and special collection!,exclamative,interrogative
What an exquisite meal!,exclamative,interrogative
The smell of chocolate can increase theta brain waves.,declarative,interrogative
Show up for each other.,imperative,exclamative
Endless potential!,exclamative,interrogative
Browse local shops.,imperative,declarative
Frogs can freeze without dying.,declarative,interrogative
"The more, the merrier!",exclamative,imperative
"Hooray, we’ve got a plan!",exclamative,interrogative
What is your favorite childhood game?,interrogative,imperative
Share books you love.,imperative,interrogative
The Great Barrier Reef is the world's largest living structure.,declarative,exclamative
Find calmness in chaos.,imperative,declarative
What an inspired choice!,exclamative,imperative
Visit a nearby park.,imperative,exclamative
Play outside.,imperative,interrogative
"Bravo, as expected!",exclamative,interrogative
Happy trails!,exclamative,declarative
How breathtaking that panorama is!,exclamative,declarative
Visit a museum.,imperative,interrogative
What a delightful surprise!,exclamative,declarative
What a brilliant idea for a project!,exclamative,interrogative
Intentionally cultivate friendships.,imperative,interrogative
Guaranteed!,exclamative,declarative
So very true!,exclamative,declarative
Hush!,exclamative,imperative
Wild!,exclamative,imperative
Yippee!,exclamative,interrogative
How thrilling the energy of the crowd is!,exclamative,declarative
"A group of jellyfish is referred to as a ""smack.""",declarative,exclamative
Bravo!,exclamative,imperative
"Eek, let’s be careful!",exclamative,declarative
Go for it!,exclamative,imperative
Appreciate your progress.,imperative,declarative
An octopus has three hearts.,declarative,imperative
Where is your favorite place to relax?,interrogative,imperative
Awesome sauce!,exclamative,interrogative
"Wow, such unique ideas!",exclamative,interrogative
How warming the sun feels today!,exclamative,interrogative
Model good behavior.,imperative,interrogative
"Whoa, this place is special!",exclamative,imperative
"Bravo, what a performance!",exclamative,interrogative
It is physically impossible for pigs to look up into the sky.,declarative,interrogative
"Eek, I’m so excited!",exclamative,imperative
What a thoughtful act of kindness!,exclamative,interrogative
Stop playing video games.,imperative,declarative
Schedule break time.,imperative,declarative
"Whoa, how inspiring!",exclamative,imperative
Toodle-oo!,exclamative,interrogative
Pure and simple!,exclamative,interrogative
"Oh dear, what nonsense!",exclamative,interrogative
Engage in community dialogue.,imperative,declarative
How thrilling this concert will be!,exclamative,declarative
So sweet!,exclamative,declarative
What a unique gathering of friends!,exclamative,imperative
"Whoa, such depth in this!",exclamative,declarative
What is your favorite workout?,interrogative,declarative
Ostriches can run faster than horses.,declarative,interrogative
"Hooray, let's get creative!",exclamative,declarative
How flawless that performance was!,exclamative,interrogative
"Yikes, what was that?",exclamative,interrogative
The average person walks the equivalent of five times around the world in a lifetime.,declarative,exclamative
What a creative project!,exclamative,interrogative
Wake up with purpose.,imperative,interrogative
Engage your senses.,imperative,interrogative
"Eek, what’s going to happen?",exclamative,declarative
You'll love it!,exclamative,declarative
What a refreshing change in plans!,exclamative,declarative
"Aww, how endearing!",exclamative,interrogative
"Yay, movie night!",exclamative,declarative
How wonderful it is to be together again!,exclamative,interrogative
"Bravo, you’ve got skills!",exclamative,imperative
Ladies and gentlemen!,exclamative,imperative
Snakes can help warn humans of earthquakes.,declarative,interrogative
Please don’t worry.,imperative,exclamative
Transformative!,exclamative,imperative
How dazzling your outfit is!,exclamative,imperative
Do you enjoy board games with family?,interrogative,declarative
"Whoops, I spilled it!",exclamative,interrogative
Can you tell me about a recent adventure?,interrogative,exclamative
What a spectacular view of the city!,exclamative,imperative
Host a discussion group.,imperative,declarative
Initiate community dialogue.,imperative,interrogative
Goldfish can see both infrared and ultraviolet light.,declarative,imperative
"Oh my, that’s adorable!",exclamative,imperative
"Hooray, we’re on an adventure!",exclamative,imperative
"Yay, it’s time for a new journey!",exclamative,declarative
Sketch the world!,exclamative,imperative
Lovely surprise!,exclamative,declarative
What an amazing invention!,exclamative,imperative
"Eek, we’re learning so much!",exclamative,imperative
Sea cucumbers can eviscerate themselves to escape predators.,declarative,interrogative
Do you believe in love at first sight?,interrogative,imperative
Dress appropriately.,imperative,declarative
Do you play any sports?,interrogative,declarative
Is it cold today?,interrogative,imperative
"Eek, that’s quite the sight!",exclamative,imperative
Foster an attitude of gratitude.,imperative,interrogative
Don’t forget your homework.,imperative,declarative
"Yippee, let’s go on vacation!",exclamative,declarative
Are you a fan of soccer?,interrogative,declarative
What a blessing!,exclamative,imperative
"Bravo, let’s celebrate this!",exclamative,interrogative
Shiver me timbers!,exclamative,declarative
Do you prefer summer or winter activities?,interrogative,exclamative
What’s your favorite thing to do outdoors?,interrogative,exclamative
What’s your favorite way to explore a city?,interrogative,declarative
Capture moments in time.,imperative,declarative
Sustain your motivation.,imperative,declarative
A group of crows is known as a murder.,declarative,interrogative
What’s your favorite way to express yourself?,interrogative,declarative
Stand by your decision.,imperative,exclamative
Pigs can't look up at the sky.,declarative,interrogative
Ballpark!,exclamative,interrogative
What’s your favorite movie?,interrogative,declarative
"A group of geese is called a ""gaggle"" when on land.",declarative,imperative
"Oh boy, here we go!",exclamative,interrogative
How touching that reunion is!,exclamative,interrogative
Walk the dog.,imperative,interrogative
"Yay, it’s time to play!",exclamative,interrogative
How beautiful the ice sculpture looks!,exclamative,imperative
"Yikes, that’s too close!",exclamative,declarative
"Hooray, life is full of surprises!",exclamative,declarative
Volunteer your time.,imperative,interrogative
"Oh wow, so inspiring!",exclamative,interrogative
What’s your favorite time of day?,interrogative,imperative
"Golly, how splendid!",exclamative,imperative
Seasons of joy!,exclamative,declarative
"Monarch butterflies can travel up to 3,000 miles during migration.",declarative,interrogative
Test your assumptions.,imperative,interrogative
How beautiful your smile is!,exclamative,declarative
Aye aye!,exclamative,imperative
What an extraordinary performance that was!,exclamative,declarative
Celebrate your birthdays.,imperative,declarative
How cheerful the laughter of children is!,exclamative,imperative
Arrange a fun day out.,imperative,exclamative
"Yay, let’s keep it rocking!",exclamative,interrogative
As if!,exclamative,interrogative
How delightful that aroma is!,exclamative,imperative
The shortest war in history lasted 38 to 45 minutes.,declarative,exclamative
Create lasting memories.,imperative,exclamative
Zing!,exclamative,interrogative
Joy in every footstep!,exclamative,interrogative
Step into your power.,imperative,declarative
Do you prefer reading physical books or e-books?,interrogative,exclamative
Can you remember your dreams?,interrogative,declarative
Stay tuned!,exclamative,declarative
Pursue happiness!,exclamative,declarative
"Golly, that’s surprising!",exclamative,interrogative
"Eek, I’m on the edge of my seat!",exclamative,imperative
